model,train_score,cv_score,n_features
ridge,0.35435128,0.32370566,10
ridge,0.35751950,0.32325940,12
ridge,0.36281599,0.32338064,15
ridge,0.35988344,0.31814324,17
ridge,0.36366443,0.31518984,20
ridge,0.38623649,0.31220653,50
svr_rbf,0.20819355,0.05089818,10
svr_rbf,0.20288377,0.04466612,12
svr_rbf,0.19623022,0.03828154,15
svr_rbf,0.19523817,0.03702860,17
svr_rbf,0.19504045,0.03661910,20
svr_rbf,0.19906601,0.03898844,50
rf,0.91952977,0.41073270,10
rf,0.91746220,0.40108575,12
rf,0.92011203,0.39028798,15
rf,0.91710290,0.38618440,17
rf,0.91695155,0.38495185,20
rf,0.91577491,0.37294342,50
